Locations Axis	Global	
Values axis	Global	
x(mm)	y(mm)	z(mm)	Value(N_m2)	
75	25	22.5	1.37416e+007	
75	25	24.8176	1.44321e+007	
75	25	27.6957	1.35582e+007	
75	25	30.1824	1.42724e+007	
75	25	32.6824	1.30462e+007	
75	25	35	1.37449e+007	
75	25	37.6824	1.25391e+007	
75	25	40	1.32216e+007	
75	25	42.5	1.21221e+007	
75	25	44.7049	1.23857e+007	
75	25	47.5	1.17504e+007	
75	22.2397	50	4.90232e+006	
75	20.2951	50	2.8006e+006	
75	17.5	50	1.80916e+006	
75	15.1824	50	1.29353e+006	
75	12.5	50	792594	
75	10	50	461473	
75	7.68238	50	231218	
75	5.47746	50	87460.7	
75	2.71721	50	52123.6	
75	0.477462	50	75524.1	
75	-2.31762	50	49495.3	
122.5	25	-7.63685e-007	2.43729e+006	
120.477	25	0	1.38287e+006	
116.91	25	0	2.07006e+006	
115	25	-7.63685e-007	1.78398e+006	
112.339	25	0	3.09946e+006	
110.295	25	0	2.32457e+006	
107.5	25	-7.63685e-007	3.22801e+006	
105	25	-7.63685e-007	2.68616e+006	
102.352	25	0	3.9446e+006	
100.477	25	0	3.43638e+006	
96.9098	25	0	3.91918e+006	
95	25	-7.63685e-007	3.99615e+006	
92.5	25	-7.63685e-007	5.25722e+006	
90.4775	25	0	4.88215e+006	
87.5	25	-7.63685e-007	5.76463e+006	
84.8309	25	0	5.91353e+006	
82.6824	25	0	6.77866e+006	
80	25	-7.63685e-007	7.97957e+006	
77.3176	25	0	1.03074e+007	
125	25	2.5	1.43721e+006	
125	25	4.70491	972097	
125	25	7.17008	1.16571e+006	
125	25	10.1475	823303	
125	25	12.0225	1.13463e+006	
125	25	15.1475	726544	
125	25	17.0225	1.03941e+006	
125	25	20.2603	659955	
125	25	22.2049	1.00787e+006	
125	25	25.1824	620058	
125	25	27.2264	970817	
125	25	30.1824	634444	
125	25	32.2264	954270	
125	25	35.2603	689038	
125	25	37.2049	1.09611e+006	
125	25	40	753603	
125	25	42.2049	1.13247e+006	
125	25	45	896873	
125	25	47.5	1.44621e+006	
122.682	25	50	1.46911e+006	
119.778	25	50	3.1586e+006	
116.953	25	50	3.20716e+006	
114.635	25	50	1.78911e+006	
111.91	25	50	2.28383e+006	
110	25	50	4.28659e+006	
107.318	25	50	3.46515e+006	
104.796	25	50	2.09586e+006	
102.205	25	50	2.49364e+006	
100	25	50	3.9685e+006	
97.0225	25	50	3.87417e+006	
95	25	50	2.78601e+006	
92.3176	25	50	2.82146e+006	
89.7049	25	50	4.59279e+006	
87.5	25	50	4.41701e+006	
84.8176	25	50	3.0991e+006	
82.3176	25	50	3.45268e+006	
80	25	50	4.0154e+006	
77.3176	25	50	6.60925e+006	
125	-2.5	-7.63685e-007	323.366	
125	-0.295087	0	529.664	
125	2.31762	0	2283.01	
125	5	-7.63685e-007	5122.99	
125	7.31762	0	7893.23	
125	10.1824	0	14179.3	
125	12.5	-7.63685e-007	19559.4	
125	15	-7.63685e-007	28876.1	
125	17.5	-7.63685e-007	43712.5	
125	19.8176	0	71346	
125	22.5	-7.63685e-007	269700	
125	-5	2.5	305.358	
125	-5	5	574.371	
125	-5	7.5	521.945	
125	-5	10	734.855	
125	-5	12.5	1023.02	
125	-5	14.5225	1568.01	
125	-5	17.3176	2334.11	
125	-5	20.2951	2917	
125	-5	22.5	3291.24	
125	-5	25	3611.47	
125	-5	27.5	3707.49	
125	-5	30	3727.88	
125	-5	32.5	3496.25	
125	-5	34.5225	3278.36	
125	-5	37.3176	2760.42	
125	-5	40.4775	2059.32	
125	-5	42.5	1398.57	
125	-5	45	795.976	
125	-5	47.7951	205.259	
125	-2.5	50	399.939	
125	0.477462	50	1330.35	
125	2.5	50	3075.56	
125	5	50	6003.79	
125	7.68238	50	9129.46	
125	10.6598	50	11900.1	
125	12.5	50	12603	
125	15	50	9454.42	
125	17.5	50	2579.45	
125	20	50	57252.8	
125	22.5	50	360726	
147.5	-5	-7.63685e-007	305.914	
144.818	-5	0	670.033	
141.84	-5	0	776.531	
139.783	-5	0	696.961	
137.023	-5	0	715.36	
134.818	-5	0	803.764	
132.5	-5	-7.63685e-007	636.65	
130.182	-5	0	296.833	
127.023	-5	0	282.362	
150	-5	2.5	223.225	
150	-5	5.29509	528.004	
150	-5	7.5	586.662	
150	-5	10.2951	1028.75	
150	-5	12.5	1224.89	
150	-5	14.5225	1774.04	
150	-5	17.6824	2314.95	
150	-5	20.5902	2775.48	
150	-5	22.5	3014.71	
150	-5	25	3343.53	
150	-5	27.7039	3328.37	
150	-5	30.2951	3343.41	
150	-5	32.5	3090.55	
150	-5	34.8176	2719.79	
150	-5	37.5	2281.79	
150	-5	40	1582.79	
150	-5	42.5	881.522	
150	-5	45	474.207	
150	-5	47.5	282.694	
147.318	-5	50	400.697	
144.705	-5	50	747.773	
142.205	-5	50	1232.14	
139.705	-5	50	1638.01	
137.5	-5	50	1765.82	
135	-5	50	1512.93	
132.318	-5	50	883.944	
129.523	-5	50	284.99	
127.5	-5	50	252.341	
150	52.2049	0	2090.52	
150	50.1608	0	3597.97	
150	47.5	-7.63685e-007	6812.43	
150	45	-7.63685e-007	11669.1	
150	42.6824	0	12620.1	
150	40.4775	0	11480.1	
150	37.5	-7.63685e-007	10845.8	
150	35	-7.63685e-007	10943.1	
150	32.3391	0	9168.56	
150	30.2951	0	10308.5	
150	27.6824	0	13488.5	
150	24.5225	0	19227.9	
150	22.5	-7.63685e-007	21206	
150	20.2951	0	22069.6	
150	17.5	-7.63685e-007	21240.6	
150	15	-7.63685e-007	20525.3	
150	12.5	-7.63685e-007	17883.4	
150	10.1824	0	14416.5	
150	7.97746	0	10783.6	
150	4.81762	0	6628.15	
150	2.20491	0	2976.89	
150	-7.15256e-007	-7.63685e-007	1039.43	
150	-2.5	-7.63685e-007	343.873	
150	55	2.68238	3133.85	
150	55	5	3732.59	
150	55	7.68238	5227.1	
150	55	10.4775	8322.03	
150	55	12.5	10407.8	
150	55	15	14417.8	
150	55	17.5	17331.1	
150	55	19.8176	19220.2	
150	55	22.5	18619.8	
150	55	25	18018.8	
150	55	27.6824	16328.9	
150	55	30.5902	12873.2	
150	55	32.5	10845.5	
150	55	35.2951	8837.83	
