Locations Axis	Global	
Values axis	Global	
x(mm)	y(mm)	z(mm)	Value(N_m2)	
0	5.1243	32.118	1.90619e+006	
0	2.3541	33.2463	2.58723e+006	
0	2.57647	30.1459	2.7799e+006	
0	4.999	29.193	2.2613e+006	
0	4.99795	27.3058	2.50721e+006	
0	2.46088	27.5534	3.25337e+006	
0	2.42993	25.351	3.53141e+006	
0	4.99181	25.0564	2.73752e+006	
0	5.14339	22.118	3.046e+006	
0	2.49828	23.3804	3.83844e+006	
0	2.58125	20.3581	4.00574e+006	
0	4.88432	19.4775	3.39104e+006	
0	4.87655	17.4716	3.6708e+006	
0	2.49821	17.4425	4.54337e+006	
0	2.49547	15.3511	4.80477e+006	
0	4.99181	15.0556	3.89335e+006	
0	5.1438	12.118	4.23667e+006	
0	2.26223	13.3415	5.3761e+006	
0	2.56536	10.1459	5.39238e+006	
0	4.8985	9.40428	4.67083e+006	
0	4.99983	7.31173	5.04198e+006	
0	2.49899	7.36511	6.0238e+006	
3.05101e-006	2.5	5	6.54855e+006	
0	4.99689	4.94097	5.48826e+006	
3.05101e-006	5	2.5	6.51756e+006	
0	2.49961	2.49262	7.44458e+006	
3.05101e-006	7.5	2.5	5.98702e+006	
0	10.0836	4.61803	4.63903e+006	
3.05101e-006	10	2.5	5.54811e+006	
3.05101e-006	7.5	5	4.99744e+006	
0	11.7361	1.96839	5.82314e+006	
0	15.399	4.6695	3.88934e+006	
0	15.264	2.43723	4.74068e+006	
0	12.9315	5.58618	4.01537e+006	
0	17.5187	2.45857	4.59711e+006	
0	20.0856	4.63321	3.3705e+006	
3.05101e-006	20	2.5	4.16099e+006	
0	17.6046	4.93035	3.61967e+006	
0	21.7361	2.24251	4.17729e+006	
0	25.4184	4.72137	2.71895e+006	
0	25.0279	2.23799	3.59104e+006	
0	22.9889	5.58738	2.83271e+006	
0	27.2811	2.44653	3.27206e+006	
0	29.9934	4.8541	2.17644e+006	
3.05101e-006	30	2.5	2.84701e+006	
0	27.6046	4.93034	2.46419e+006	
0	32.2639	2.34753	2.68858e+006	
0	35.4184	4.72137	1.56238e+006	
0	34.8172	2.125	2.32765e+006	
0	32.9708	5.43915	1.73284e+006	
3.05101e-006	37.5	2.5	1.86144e+006	
0	39.9569	4.85744	1.00682e+006	
3.05101e-006	40	2.5	1.51176e+006	
0	37.6018	4.90286	1.2883e+006	
0	41.882	2.31158	1.34978e+006	
0	45.2347	5.35885	428282	
0	44.788	2.53197	918380	
0	42.4929	4.76393	739024	
0	44.5	7.97818	215940	
0	42.1426	7.03377	421966	
0	42.4863	9.99136	61815.7	
0	39.9183	9.11334	393261	
0	39.9102	7.19255	649138	
0	37.5656	10.1824	549631	
0	37.4981	7.20283	928605	
0	34.9055	9.16656	972636	
0	34.6469	7.34736	1.23841e+006	
0	32.7235	10.3498	1.07596e+006	
0	32.1426	7.74802	1.45801e+006	
0	29.9186	9.29496	1.50218e+006	
0	29.8911	7.38515	1.77111e+006	
0	27.5679	10.1807	1.64791e+006	
3.05101e-006	27.5	7.5	2.00395e+006	
0	24.7207	9.68015	2.00393e+006	
0	24.793	7.22271	2.35077e+006	
0	22.6323	10.382	2.14059e+006	
0	22.1452	7.64105	2.56018e+006	
0	19.9175	9.22729	2.57774e+006	
0	19.8909	7.37265	2.86689e+006	
0	17.4833	10.0394	2.737e+006	
0	17.5889	7.3541	3.11159e+006	
0	14.8973	9.30758	3.12472e+006	
0	14.7925	7.23032	3.47014e+006	
0	12.7062	10.3599	3.2482e+006	
0	12.1317	7.7309	3.69806e+006	
0	9.91017	9.31895	3.76035e+006	
0	9.88357	7.37505	4.09563e+006	
0	7.49114	10.2454	4.01997e+006	
0	7.47537	7.34058	4.46345e+006	
0	10.2296	11.9721	3.35667e+006	
0	7.43646	13.3863	3.59528e+006	
0	9.70451	14.7504	3.09012e+006	
0	7.41666	15.1118	3.41989e+006	
0	10.4999	16.8494	2.75078e+006	
0	7.50358	17.4373	3.11445e+006	
0	9.99934	19.247	2.55199e+006	
0	7.48932	20.0999	2.83669e+006	
0	10.1952	22.0279	2.2355e+006	
0	7.43647	23.392	2.47172e+006	
0	9.71428	24.6944	2.015e+006	
0	7.41667	25.1192	2.30689e+006	
0	10.4316	26.8082	1.70791e+006	
0	7.7379	27.3995	1.99268e+006	
0	10	29.3056	1.49268e+006	
0	7.49218	30.1164	1.74459e+006	
0	10.2225	32.0894	1.16818e+006	
0	7.4314	33.3418	1.38192e+006	
0	9.84139	34.8015	909316	
0	7.41041	35.1052	1.19438e+006	
0	10.5073	36.8254	604302	
0	7.51036	37.349	911672	
0	10.0816	39.1143	378423	
0	7.74571	40.2617	536566	
0	10.2183	42.2619	48733.9	
0	7.37613	43.3748	258909	
0	9.43692	45.0009	362987	
0	7.32811	45.1891	283669	
0	12.3541	45.0827	716210	
0	12.3541	42.5798	349205	
3.05101e-006	15	42.5	655383	
0	14.9601	39.2308	331171	
0	12.6459	40.0718	156955	
0	14.9702	37.1954	302971	
0	12.4148	37.9952	298455	
0	15.3011	34.7127	446488	
0	12.8929	35.5225	522676	
0	15.0473	31.9821	706873	
0	12.5119	33.2549	794775	
0	14.8927	29.3591	972498	
0	12.738	30.2974	1.0853e+006	
0	14.785	27.2513	1.18858e+006	
0	12.2639	28.2692	1.34197e+006	
0	15.3272	24.791	1.37435e+006	
0	12.5255	25.1459	1.6372e+006	
0	15.1807	22.118	1.65517e+006	
0	12.5	23.3333	1.81695e+006	
0	14.8305	19.5824	1.94479e+006	
0	12.7395	20.3738	2.09927e+006	
0	14.6145	17.0646	2.23215e+006	
0	12.4288	17.7887	2.40055e+006	
0	15.2478	14.5315	2.43261e+006	
0	12.5097	15.1924	2.68338e+006	
0	15.1174	12.118	2.73081e+006	
0	12.511	13.4914	2.86342e+006	
0	17.4799	14.9771	2.14754e+006	
0	17.4405	13.2738	2.33149e+006	
0	19.6899	14.6993	1.94495e+006	
0	20.1256	12.0893	2.19112e+006	
0	22.5362	15.1459	1.61465e+006	
0	22.5041	13.3791	1.79392e+006	
0	25.3488	14.7561	1.37087e+006	
0	25.1045	12.1835	1.6672e+006	
0	27.5022	15.1788	1.12132e+006	
0	27.3948	13.5287	1.28622e+006	
0	29.6981	14.7608	945146	
0	30.1506	12.118	1.15449e+006	
0	32.8252	15.618	582252	
0	32.5016	13.2356	797647	
0	35.0671	14.3413	462557	
0	35.1944	11.8019	650015	
0	37.5	14.9388	289582	
0	37.06	13.3519	331643	
0	39.7066	14.5719	316516	
0	40.2066	11.9445	120579	
0	42.5186	15.0754	659671	
0	42.6734	12.7798	406971	
0	45.1597	16.4419	1.2137e+006	
0	44.9352	13.5391	813450	
0	44.5631	18.2335	1.3257e+006	
3.05101e-006	42.5	17.5	936160	
3.05101e-006	42.5	20	1.22189e+006	
0	40	19.2389	838633	
0	40.5763	16.8134	639326	
0	37.4929	20.0512	685803	
0	37.3811	17.1774	425037	
0	34.9686	19.3394	485222	
0	34.7849	17.2325	403911	
0	32.5276	20.2454	488495	
0	32.4592	18.0605	497925	
0	29.9993	19.2381	604425	
0	30.576	17.0184	685341	
0	27.492	20.0469	733179	
0	27.5168	17.3219	931078	
0	24.9656	19.3682	990223	
0	24.5488	17.3535	1.20224e+006	
0	22.4987	20.2463	1.13321e+006	
0	22.1179	18.2312	1.34848e+006	
0	19.9993	19.247	1.45685e+006	
0	20.5249	16.7736	1.64699e+006	
0	17.4942	20.0999	1.62029e+006	
0	17.5001	17.1662	1.9104e+006	
0	20.2131	21.9721	1.18364e+006	
0	17.4524	23.2824	1.31376e+006	
0	19.7143	24.6944	987650	
0	17.5091	24.988	1.15177e+006	
0	20.4681	26.8872	755014	
0	17.5801	27.4184	922643	
0	20.0827	29.226	617978	
0	17.7251	30.2361	670807	
0	20.2336	31.9721	503923	
0	17.0706	33.2638	483607	
0	19.8545	34.7479	515251	
0	17.4996	35.0117	409915	
0	20.4635	36.9627	700369	
0	17.5126	37.2891	455478	
0	20.0831	39.1881	854590	
0	17.7361	40.2345	709930	
0	20.0385	42.3789	1.21911e+006	
3.05101e-006	17.5	42.5	946470	
0	19.5136	44.9943	1.56261e+006	
0	17.0824	44.7972	1.24503e+006	
3.05101e-006	22.5	45	1.92633e+006	
3.05101e-006	22.5	42.5	1.51056e+006	
0	25.2361	42.5236	1.80951e+006	
0	24.9683	39.2476	1.36395e+006	
0	22.7361	40.0807	1.22636e+006	
0	24.785	37.241	1.14219e+006	
0	22.4958	38.1874	1.00782e+006	
0	25.3504	34.7539	961535	
0	23.041	35.7014	829258	
0	25.0639	32.2137	745136	
0	22.514	33.3351	629297	
0	24.8759	29.5857	599748	
0	22.7369	30.3546	545372	
0	24.785	27.2593	570533	
0	22.2639	28.263	587535	
0	25.3273	24.8009	617134	
0	22.525	25.1459	743550	
0	25.3683	22.118	754168	
0	22.5	23.3333	875043	
0	27.5054	25.0128	568793	
0	27.4524	23.2817	587971	
0	29.7163	24.7928	598941	
0	30.2135	22.0279	537356	
0	32.8949	25.583	824419	
0	32.5143	23.5317	650754	
0	34.9974	24.4235	891739	
0	35.3733	22.118	719670	
0	37.5196	24.977	1.18025e+006	
0	37.5	23.3333	1.01538e+006	
0	39.7352	24.5695	1.36809e+006	
0	40.2184	21.9103	1.14907e+006	
0	42.5566	25.0407	1.78339e+006	
0	42.8006	22.69	1.56006e+006	
0	45.1427	26.2442	2.35801e+006	
0	45.0859	23.4107	2.01217e+006	
0	44.5859	28.1305	2.46474e+006	
0	42.5784	27.3248	2.03069e+006	
3.05101e-006	42.5	30	2.31678e+006	
0	40.0433	29.3002	1.90119e+006	
0	40.4908	26.6716	1.68282e+006	
0	37.5715	30.1899	1.70334e+006	
0	37.5349	27.1965	1.39914e+006	
0	34.945	29.2721	1.34164e+006	
0	34.8066	27.2573	1.13993e+006	
0	32.5547	30.2312	1.20362e+006	
0	32.5251	28.0216	1.00675e+006	
0	30.054	29.3095	909315	
0	30.641	26.8554	768059	
0	27.5146	30.2454	784316	
0	27.4936	27.3729	624908	
0	30.4547	32.0279	1.18381e+006	
0	27.0706	33.3664	997696	
0	29.8596	34.7329	1.38208e+006	
3.05101e-006	27.5	35	1.18575e+006	
0	30.5079	36.8214	1.66951e+006	
0	27.5249	37.307	1.41645e+006	
0	29.9427	39.253	1.88086e+006	
3.05101e-006	27.5	40	1.71728e+006	
0	29.8561	42.1587	2.25423e+006	
3.05101e-006	27.5	42.5	2.04966e+006	
0	29.1547	44.6818	2.59561e+006	
0	27.1667	44.8437	2.42842e+006	
0	32.3902	45.1449	3.09639e+006	
0	32.3541	42.3598	2.56255e+006	
0	35.1459	42.4164	2.88313e+006	
0	34.9366	39.0712	2.39068e+006	
0	32.7328	40.2361	2.30206e+006	
0	34.6021	37.1302	2.13543e+006	
0	32.134	38.02	1.9695e+006	
0	35.295	34.7785	1.94256e+006	
0	32.5106	35.1882	1.69038e+006	
0	35.1719	32.0279	1.64312e+006	
0	32.4449	33.5694	1.52366e+006	
0	37.5114	35.1271	2.23383e+006	
0	37.3778	33.6471	2.05405e+006	
0	39.7235	34.5906	2.43079e+006	
0	40.3778	32.0279	2.24176e+006	
0	42.6983	35.1607	2.93563e+006	
0	42.6789	32.8997	2.66732e+006	
0	44.9629	36.0171	3.46076e+006	
0	45.0808	33.4312	3.17369e+006	
0	44.4302	38.3614	3.65062e+006	
0	42.4729	37.4998	3.17231e+006	
0	42.1437	39.9976	3.45696e+006	
0	40.0833	39.0833	3.01803e+006	
0	40.4868	36.6673	2.78048e+006	
0	37.6459	39.9527	2.82467e+006	
0	37.5154	37.2879	2.47493e+006	
0	40.2092	42.3598	3.50402e+006	
3.05101e-006	37.5	42.5	3.18075e+006	
0	39.4692	45.0594	3.93749e+006	
0	37.0902	44.7682	3.57914e+006	
0	42.6459	44.9436	4.39401e+006	
0	42.6466	42.3931	3.88824e+006	
0	44.926	45.9126	5.07578e+006	
0	45.1493	42.9444	4.45364e+006	
0	45.3278	40.3291	4.12721e+006	
0	35.1068	45.7976	3.5538e+006	
0	45.3074	30.3146	2.8524e+006	
0	25.1459	45.7827	2.37343e+006	
0	45.422	20.2112	1.70788e+006	
0	15.0432	45.855	1.17041e+006	
0	45.3836	10.2112	500151	
2.49087	2.3541	0	1.10872e+007	
5	5	-7.63685e-007	8.45361e+006	
4.96491	2.73607	0	8.87272e+006	
2.49975	4.99161	0	8.74259e+006	
2.49414	7.35457	0	8.80397e+006	
4.95973	9.05966	0	7.25338e+006	
4.99363	7.28529	0	7.5614e+006	
2.11803	10.382	0	8.15014e+006	
2.5	12.5	-7.63685e-007	7.56716e+006	
5.2774	15.0904	0	6.10625e+006	
4.76871	12.2069	0	6.67417e+006	
2.97214	14.9272	0	6.02395e+006	
2.94261	17.5204	0	6.54711e+006	
4.99471	19.0828	0	5.42287e+006	
5.1203	17.2822	0	5.57106e+006	
2.11803	20.382	0	6.2998e+006	
2.5	22.5	-7.63685e-007	5.79196e+006	
5.21966	24.8566	0	4.60972e+006	
4.69388	22.0748	0	5.06469e+006	
2.73607	24.8435	0	4.62643e+006	
2.55632	27.3968	0	4.98981e+006	
5.00845	29.2842	0	3.962e+006	
5.10418	27.2975	0	4.15095e+006	
2.26393	30.2153	0	4.50199e+006	
2.5	32.5	-7.63685e-007	4.05483e+006	
5.18877	34.8036	0	3.17289e+006	
4.86373	32.1398	0	3.59199e+006	
2.60798	34.7639	0	3.20362e+006	
2.41555	37.5457	0	3.17384e+006	
4.99296	39.1021	0	2.50792e+006	
5.09881	37.3201	0	2.73532e+006	
2.26393	39.9157	0	2.68203e+006	
2.44605	42.2639	0	2.22093e+006	
5.80445	44.8806	0	1.60121e+006	
4.82143	42.3214	0	2.01876e+006	
2.57016	44.9171	0	1.62742e+006	
2.15288	47.8453	0	1.27197e+006	
4.89038	47.2639	0	1.23138e+006	
7.51773	47.0192	0	1.19106e+006	
10.4885	47.1866	0	1.09705e+006	
13.0752	47.9704	0	919506	
15	47.5	-7.63685e-007	1.0073e+006	
17.7782	48.2708	0	855294	
20.5018	47.085	0	1.07585e+006	
23.0789	48.0045	0	920842	
25	47.5	-7.63685e-007	1.01329e+006	
27.2373	47.8022	0	969415	
30.446	46.997	0	1.10118e+006	
33.0787	48.0047	0	959072	
35	47.5	-7.63685e-007	1.02973e+006	
37.7313	48.2589	0	931784	
40.5805	46.9308	0	1.08733e+006	
42.8908	47.7272	0	959737	
45.1042	47.375	0	999438	
47.5866	47.7603	0	936735	
49.999	47.2499	0	1.1917e+006	
52.4079	50.382	0	335910	
52.6729	47.2639	0	1.01147e+006	
55.4589	47.0562	0	1.04317e+006	
55.0717	44.2004	0	1.64569e+006	
52.9869	45.2299	0	1.44801e+006	
52.5	42.5	-7.63685e-007	2.01593e+006	
50.3437	44.8836	0	1.57889e+006	
49.9565	41.8888	0	2.10534e+006	
50.3968	39.4718	0	2.56492e+006	
47.118	42.6296	0	1.88962e+006	
47.5369	39.6577	0	2.44192e+006	
47.2514	36.8574	0	2.92838e+006	
44.9837	39.971	0	2.29586e+006	
44.9015	37.5803	0	2.71801e+006	
45.039	34.2095	0	3.27632e+006	
42.1459	38.082	0	2.55157e+006	
42.7361	34.8095	0	3.10326e+006	
42.7361	32.6045	0	3.43164e+006	
39.7919	34.4074	0	3.08384e+006	
39.7243	32.1279	0	3.40941e+006	
40.0413	29.5452	0	3.74692e+006	
37.2639	32.356	0	3.33204e+006	
37.5856	29.52	0	3.7015e+006	
37.4229	26.9072	0	3.98841e+006	
35.0125	29.8703	0	3.62611e+006	
34.6665	27.424	0	3.91215e+006	
35.094	24.4097	0	4.21573e+006	
32.1459	27.9383	0	3.84912e+006	
32.4258	24.5279	0	4.21951e+006	
32.5308	22.3821	0	4.42082e+006	
29.8105	24.4369	0	4.25461e+006	
29.7796	21.8737	0	4.51633e+006	
30.3724	19.2638	0	4.74138e+006	
27.4584	22.0268	0	4.55339e+006	
27.5657	19.5357	0	4.80616e+006	
27.4559	16.7775	0	5.077e+006	
24.954	19.8308	0	4.85747e+006	
24.6242	17.2419	0	5.1516e+006	
25.1515	14.5254	0	5.4106e+006	
22	18	0	5.16669e+006	
22.4782	14.618	0	5.54162e+006	
22.4777	12.3577	0	5.79794e+006	
19.8794	14.4751	0	5.68587e+006	
19.7869	12.0643	0	5.99146e+006	
19.9107	10.0893	0	6.22711e+006	
17.3541	12.4157	0	6.07811e+006	
17.471	9.61558	0	6.4501e+006	
17.5684	7.3541	0	6.73558e+006	
15	10	-7.63685e-007	6.54829e+006	
14.6053	7.23618	0	6.97851e+006	
15.2417	4.77958	0	7.24268e+006	
11.739	7.41552	0	7.16444e+006	
12.6614	4.76804	0	7.4698e+006	
12.3429	1.96376	0	7.81997e+006	
10.1273	5.05487	0	7.69126e+006	
9.57687	2.59559	0	8.06182e+006	
7.08334	2.5	0	8.5112e+006	
7.63222	4.8541	0	7.97758e+006	
9.91952	7.4076	0	7.2759e+006	
7.5	7.5	-7.63685e-007	7.45174e+006	
10.0292	9.15349	0	6.95965e+006	
7.73607	9.78451	0	6.89611e+006	
10.027	11.8833	0	6.45868e+006	
7.61476	12.3541	0	6.37648e+006	
9.86384	14.2538	0	6.0454e+006	
7.55442	14.9688	0	5.91609e+006	
10.3607	16.5153	0	5.65303e+006	
7.80813	17.3116	0	5.55616e+006	
9.96532	18.5646	0	5.33694e+006	
7.5248	19.7639	0	5.14725e+006	
9.97283	21.4594	0	4.91009e+006	
7.6459	22.3654	0	4.76973e+006	
9.70833	24.4134	0	4.4941e+006	
7.4859	24.8393	0	4.43503e+006	
10.3564	26.7062	0	4.16114e+006	
7.57698	27.4726	0	4.0908e+006	
9.96919	28.6908	0	3.89367e+006	
7.6459	29.8596	0	3.74264e+006	
10.121	31.4895	0	3.50601e+006	
7.5	32.5	-7.63685e-007	3.3795e+006	
9.70819	34.4634	0	3.09568e+006	
7.50646	34.7954	0	3.06108e+006	
10.3608	36.7306	0	2.76236e+006	
7.42236	37.4171	0	2.69593e+006	
10.1118	38.6532	0	2.48743e+006	
7.39072	39.8541	0	2.33433e+006	
9.90775	41.3904	0	2.07841e+006	
7.61287	42.882	0	1.87657e+006	
9.82659	43.8829	0	1.68906e+006	
8.15919	45.2919	0	1.4847e+006	
12.8756	45.6423	0	1.36108e+006	
12.2736	42.7563	0	1.84771e+006	
15.0035	42.0783	0	1.93236e+006	
15.0428	39.7101	0	2.29847e+006	
12.6256	40.1083	0	2.25432e+006	
14.4084	37.2631	0	2.66543e+006	
12.0573	37.7166	0	2.60983e+006	
15.1761	34.4469	0	3.06731e+006	
12.5091	34.6945	0	3.04265e+006	
14.9043	31.8416	0	3.43664e+006	
12.5089	32.4375	0	3.35997e+006	
14.9886	29.7053	0	3.73378e+006	
12.5	30	-7.63685e-007	3.69871e+006	
14.5754	27.1758	0	4.08416e+006	
12.0584	27.6741	0	4.02333e+006	
15.0665	24.4246	0	4.46258e+006	
12.3438	25.0763	0	4.37851e+006	
14.8946	22.0559	0	4.79272e+006	
12.4542	22.4511	0	4.74755e+006	
14.9189	19.7951	0	5.11158e+006	
12.3725	20.0453	0	5.09501e+006	
14.5964	17.3096	0	5.47359e+006	
12.0886	17.5311	0	5.47827e+006	
15.0682	14.4204	0	5.89097e+006	
12.5163	14.8541	0	5.88428e+006	
14.9344	11.9374	0	6.26659e+006	
12.4472	12.4274	0	6.28056e+006	
17.2432	16.8405	0	5.47581e+006	
17.4889	14.6686	0	5.76206e+006	
20.3955	19.3946	0	5.04618e+006	
19.9815	17.2471	0	5.33374e+006	
17.602	19.4547	0	5.11032e+006	
19.8467	21.9624	0	4.73187e+006	
17.3541	22.428	0	4.71164e+006	
19.6345	24.5304	0	4.40147e+006	
17.4815	24.8443	0	4.38223e+006	
19.9286	27.3197	0	4.02854e+006	
17.2523	26.875	0	4.11085e+006	
20.5221	29.196	0	3.76993e+006	
17.5415	29.4544	0	3.75575e+006	
19.8534	31.6689	0	3.43552e+006	
17.394	31.882	0	3.42018e+006	
19.7815	34.2012	0	3.08057e+006	
17.5148	34.4226	0	3.05999e+006	
19.9417	37.2244	0	2.64186e+006	
17.3541	36.5925	0	2.74937e+006	
20.543	39.2441	0	2.33793e+006	
17.5901	39.3577	0	2.33748e+006	
20.0601	41.8389	0	1.94239e+006	
17.4937	42.7073	0	1.82126e+006	
20.1865	43.9541	0	1.60515e+006	
17.8791	45.018	0	1.43841e+006	
22.7878	45.414	0	1.35755e+006	
22.5187	42.8974	0	1.76458e+006	
24.7927	42.0531	0	1.88467e+006	
24.9745	39.8228	0	2.22543e+006	
22.709	40.1124	0	2.19453e+006	
24.4292	37.2647	0	2.61069e+006	
22.2033	38.037	0	2.50893e+006	
24.9535	34.4636	0	3.01204e+006	
22.5177	34.618	0	3.00481e+006	
24.9675	31.9362	0	3.36481e+006	
22.7361	32.2938	0	3.33063e+006	
24.9536	29.7107	0	3.66461e+006	
22.5	30	-7.63685e-007	3.64597e+006	
24.6695	27.4783	0	3.95713e+006	
22.0231	27.9396	0	3.92459e+006	
25.1831	24.0427	0	4.37156e+006	
22.6458	24.7639	0	4.32676e+006	
25	22.0833	0	4.60305e+006	
22.6434	22.497	0	4.60743e+006	
27.361	26.9197	0	3.99796e+006	
27.5462	24.72	0	4.2542e+006	
30.6413	29.2377	0	3.69311e+006	
29.9625	27.3422	0	3.92723e+006	
27.5722	29.4808	0	3.67571e+006	
30.0274	31.9122	0	3.34609e+006	
27.14	32.118	0	3.32814e+006	
30.0161	34.2629	0	3.02104e+006	
27.5387	34.7679	0	2.95637e+006	
29.9827	37.3762	0	2.56637e+006	
27.5173	37.0486	0	2.62582e+006	
30.603	39.4484	0	2.25286e+006	
27.5576	39.6282	0	2.23964e+006	
30.0468	42.0591	0	1.85683e+006	
27.391	42.482	0	1.8047e+006	
30.1033	44.2047	0	1.52786e+006	
27.6259	45.2812	0	1.36759e+006	
32.7494	45.3507	0	1.34313e+006	
32.6236	42.5538	0	1.76779e+006	
34.8317	42.0555	0	1.83812e+006	
35.0623	39.9777	0	2.16345e+006	
32.5545	40.1131	0	2.14346e+006	
34.7342	37.2732	0	2.58408e+006	
32.015	37.9916	0	2.47105e+006	
35.1639	34.4376	0	3.01084e+006	
32.2365	34.5279	0	2.98342e+006	
35	32.0833	0	3.34014e+006	
32.5	32.5	-7.63685e-007	3.2692e+006	
37.3541	36.9779	0	2.64835e+006	
37.5459	34.7198	0	2.99685e+006	
40.6309	39.2553	0	2.32107e+006	
40.447	36.8705	0	2.71207e+006	
37.5581	39.7202	0	2.21067e+006	
39.6487	41.9304	0	1.86105e+006	
37.382	42.5329	0	1.75638e+006	
40.1696	44.3051	0	1.47613e+006	
37.8272	45.0418	0	1.36805e+006	
42.0241	45.305	0	1.31794e+006	
42.6178	42.6634	0	1.76218e+006	
44.5833	45	0	1.38169e+006	
44.7639	42.5365	0	1.83124e+006	
42.5	40	-7.63685e-007	2.2276e+006	
35.0573	44.608	0	1.44548e+006	
32.5393	30.1459	0	3.58009e+006	
24.9739	44.5088	0	1.49775e+006	
22.6268	20.3256	0	4.87116e+006	
15.1696	44.5624	0	1.52872e+006	
12.4423	9.93747	0	6.69688e+006	
14.7222	2.40498	0	7.56477e+006	
17.1117	2.8657	0	7.31761e+006	
20.7476	4.83148	0	6.78964e+006	
19.7297	2.47137	0	7.15262e+006	
18.2846	5.18097	0	6.94844e+006	
22.2142	2.35811	0	6.95899e+006	
25.3042	4.76119	0	6.40892e+006	
24.6214	2.86201	0	6.68716e+006	
22.5934	4.72287	0	6.64874e+006	
27.105	2.88049	0	6.45252e+006	
30.6382	4.65389	0	5.91125e+006	
29.5571	2.34307	0	6.26642e+006	
28.3827	5.14717	0	6.08369e+006	
32.2324	2.10695	0	6.00065e+006	
35.3748	4.71434	0	5.39817e+006	
34.9104	2.49036	0	5.64719e+006	
32.6158	4.51464	0	5.71917e+006	
37.1059	2.90047	0	5.33552e+006	
40.8378	4.5347	0	4.7217e+006	
39.5911	2.38331	0	5.04683e+006	
38.2367	5.22718	0	5.02182e+006	
42.635	2.37252	0	4.60926e+006	
45.0837	4.10761	0	4.06047e+006	
44.9974	2.28906	0	4.22381e+006	
42.8197	4.75567	0	4.41702e+006	
47.485	2.37293	0	3.61076e+006	
50.0678	4.8541	0	3.32548e+006	
50	2.5	-7.63685e-007	3.1283e+006	
47.4952	4.79214	0	3.59428e+006	
52.5	2.5	-7.63685e-007	2.91593e+006	
52.3834	0.236068	0	2.30144e+006	
54.8423	-0.35191	0	1.38494e+006	
55.795	-2.74183	0	565735	
53.1127	-2.60655	0	507834	
57.6708	-2.64289	0	511029	
60.6002	-0.378613	0	733252	
60	-2.5	-7.63685e-007	409911	
57.6747	-0.497932	0	1.02135e+006	
61.659	-2.52441	0	306283	
65.1945	-0.425646	0	306178	
63.9773	-2.51751	0	171565	
62.5704	0.00134902	0	591762	
66.4892	-2.50186	0	56473.9	
70.131	-0.26061	0	92499	
69.13	-2.5031	0	82210.7	
67.4538	0.236068	0	205705	
72.5415	-2.50186	0	110503	
72.5062	-0.23607	0	108981	
72.4107	2.41071	0	81051.3	
72.4995	4.98353	0	210641	
72.3541	7.53525	0	497620	
72.6293	10.5471	0	749067	
72.5836	12.6459	0	1.05383e+006	
72.5	15	-7.63685e-007	1.51387e+006	
72.5	17.5	-7.63685e-007	2.43071e+006	
72.6407	20.6056	0	4.0143e+006	
72.7698	22.6491	0	6.69277e+006	
72.4754	25.531	0	1.06406e+007	
75.1732	27.2603	0	6.30037e+006	
72.3626	28.0334	0	7.18107e+006	
72.7193	30.5455	0	5.13598e+006	
70.8155	29.6806	0	6.1201e+006	
69.8401	27.8073	0	7.202e+006	
70.6076	25.3602	0	8.5385e+006	
67.7963	27.3498	0	6.86467e+006	
67.6654	24.7433	0	7.08846e+006	
67.5954	21.7522	0	6.25067e+006	
65.1519	23.9791	0	6.29382e+006	
65.0539	21.548	0	5.82862e+006	
65.431	19.2238	0	5.13656e+006	
62.5588	22.4207	0	5.70386e+006	
62.385	20.1459	0	5.30171e+006	
61.9221	17.9078	0	4.74508e+006	
60.3053	19.2726	0	4.99885e+006	
59.9445	17.3706	0	4.65646e+006	
59.7737	14.7224	0	4.08086e+006	
57.4289	16.9523	0	4.56906e+006	
57.5214	14.7391	0	4.20344e+006	
57.4802	12.118	0	3.72689e+006	
55.0939	14.5782	0	4.26261e+006	
54.9968	12.2947	0	3.93815e+006	
54.9811	9.78685	0	3.56235e+006	
52.6188	12.734	0	4.11204e+006	
52.4139	10.1459	0	3.80983e+006	
51.7412	7.5014	0	3.52921e+006	
50.4984	9.48802	0	3.82791e+006	
50	7.5	-7.63685e-007	3.63687e+006	
47.4384	9.47824	0	3.99192e+006	
47.9859	6.97552	0	3.71755e+006	
45.0182	9.80758	0	4.20528e+006	
44.8658	7.18008	0	4.09383e+006	
42.4393	9.89078	0	4.43221e+006	
42.2256	6.968	0	4.44184e+006	
39.9045	9.84669	0	4.66826e+006	
40.076	7.87937	0	4.68388e+006	
37.526	9.79038	0	4.88444e+006	
37.4824	7.4694	0	4.98818e+006	
35	10	-7.63685e-007	5.09772e+006	
34.7949	7.2916	0	5.27406e+006	
32.5378	10.1292	0	5.29305e+006	
32.1637	6.94707	0	5.55684e+006	
29.7639	10.0055	0	5.52127e+006	
29.8417	7.63536	0	5.71368e+006	
27.5204	9.54616	0	5.73539e+006	
27.5717	7.34785	0	5.9408e+006	
25	10	-7.63685e-007	5.88167e+006	
24.6925	7.35956	0	6.18035e+006	
22.4078	10.4721	0	6.01581e+006	
22.2302	7.04542	0	6.41259e+006	
27.2091	12.0279	0	5.53093e+006	
25	12.0833	0	5.66863e+006	
29.8568	14.483	0	5.15695e+006	
29.964	12.1202	0	5.33607e+006	
27.4856	14.6228	0	5.27594e+006	
32.5	15	-7.63685e-007	4.97926e+006	
